Quiz ID	Question Number	Question	Answer Choice A	Answer Choice B	Answer Choice C	Num Answered A	Num Answered B	Num Answered C	Correct Answer	Theme Question	Notes
5e38a5d0-09b6-476d-967d-7aa4ff7be7da	1	The person who helps a weightlifter is typically known as what?	Waiter	CEO	Spotter	12284	7469	1046139	C		
5e38a5d0-09b6-476d-967d-7aa4ff7be7da	2	"Alice's Adventures in Wonderland" features which of these characters?	Paul Blart	King of Queens	Queen of Hearts	8529	36973	987685	C		
5e38a5d0-09b6-476d-967d-7aa4ff7be7da	3	Which of these places calls itself "The City of Brotherly Love"?	Chicago	Philadelphia	Boston	70474	820153	86720	B		
5e38a5d0-09b6-476d-967d-7aa4ff7be7da	4	Botanically speaking, what type of fruit is an avocado?	Berry	Gourd	Citrus	279381	396409	127255	A		
5e38a5d0-09b6-476d-967d-7aa4ff7be7da	5	Which of these NBA teams has a female owner?	Lakers	Timberwolves	Pacers	80632	113274	88252	A		
5e38a5d0-09b6-476d-967d-7aa4ff7be7da	6	In the film that bears his name, what is John Wick's "casus belli"?	Hostages	Money	Puppy	17774	20478	42565	C		
5e38a5d0-09b6-476d-967d-7aa4ff7be7da	7	In pregnancy, the ECV method uses what to change the baby's position?	Sutures	Pressing hands	Cardiovascular exercise	3125	29254	9078	B		
5e38a5d0-09b6-476d-967d-7aa4ff7be7da	8	The only rock song to exit our solar system in hard-copy form is by what artist?	The Beatles	Chuck Berry	Little Richard	13234	11741	4011	B		
5e38a5d0-09b6-476d-967d-7aa4ff7be7da	9	Which of these was the name of one of Gap's original fragrances?	Eternity	Grass	Paradise	4234	4338	3656	B		
5e38a5d0-09b6-476d-967d-7aa4ff7be7da	10	In 1958, a physicist used an oscilloscope to create what is considered the first what?	Graphing calculator	Video game	Wireless radio	1053	2296	998	B		
5e38a5d0-09b6-476d-967d-7aa4ff7be7da	11	According to Icelandic tradition, where would you most likely find an Icelandic elf?	Arboreal canopies	Subbasements	Igneous deposits	1081	352	904	C		
5e38a5d0-09b6-476d-967d-7aa4ff7be7da	12	Why did the Chicago Daily Tribune rush to print the wrong winner of the 1948 presidential election?	Workers' dispute	To influence outcome	Inclement weather	224	246	556	A		
f987cac4-fdbf-4e7f-9a13-a6f6a3795845	1	Which of these Olympians is most likely to perform a lutz, axel or toe loop jump?	Michael Phelps	Usain Bolt	Kristi Yamaguchi	48329	78520	1005823	C	TRUE	
f987cac4-fdbf-4e7f-9a13-a6f6a3795845	2	From what country did the American colonies win their independence?	Japan	Wakanda	Great Britain	12449	5111	975775	C		
f987cac4-fdbf-4e7f-9a13-a6f6a3795845	3	Which of these animals is NOT native to Australia?	Capybara	Wallaby	Koala	699114	102777	154515	A		
f987cac4-fdbf-4e7f-9a13-a6f6a3795845	4	Which congressman participated in the Selma to Montgomery marches of 1965?	Cedric Richmond	John Lewis	Jason Lewis	171855	443386	63897	B	TRUE	
f987cac4-fdbf-4e7f-9a13-a6f6a3795845	5	The Ark of the Covenant supposedly contains what religious artifact?	The Ten Commandments	The Holy Grail	Shroud of Turin	216368	189214	36237	A		
f987cac4-fdbf-4e7f-9a13-a6f6a3795845	6	Which of these actors is incapable of making a fist with his left hand?	Al Pacino	Morgan Freeman	Anthony Hopkins	74041	52551	89587	B		
f987cac4-fdbf-4e7f-9a13-a6f6a3795845	7	Which of these is NOT a term used in Olympic curling?	Hogged stone	Burned stone	Chunked stone	15513	17237	22633	C	TRUE	
f987cac4-fdbf-4e7f-9a13-a6f6a3795845	8	The "Cha-Cha Slide" includes a dance move named after what cartoon character?	Scooby-Doo	Daffy Duck	Charlie Brown	2047	3279	17883	C		
f987cac4-fdbf-4e7f-9a13-a6f6a3795845	9	Portuguese is an official language of which country?	Equatorial Guinea	Papua New Guinea	Republic of Guinea	5015	9080	3777	A		
f987cac4-fdbf-4e7f-9a13-a6f6a3795845	10	Among U.S. astronauts, what distinction does Sally Ride have?	Youngest to go to space	Most missions flown	Most total days in space	2432	880	2070	A		
f987cac4-fdbf-4e7f-9a13-a6f6a3795845	11	Which chemical compound would you NOT use to create red and blue fireworks?	Sodium nitrate	Strontium carbonate	Copper chloride	376	649	1127	A		
f987cac4-fdbf-4e7f-9a13-a6f6a3795845	12	King Louis XIV's Palace of Versailles contained over 150 pieces of furniture made entirely of what?	Silver	Ivory	Ebony	174	319	70	A		
703305cf-ed2e-45e9-ad94-7fe39b781ba7	1	Which term is shorthand for a useful item when changing a flat tire?	Surplus	Spare	Supplement	12276	874574	8320	B		
703305cf-ed2e-45e9-ad94-7fe39b781ba7	2	Tonga's 2016 Olympic flag bearer became a viral sensation for dressing how?	Oiled up & shirtless	Completely naked	Like Barney the Dinosaur	554023	122877	119707	A	TRUE	
703305cf-ed2e-45e9-ad94-7fe39b781ba7	3	What Olympic legend was the subject of a song in an Oscar-nominated 1999 film?	Brian Boitano	Kristi Yamaguchi	Michelle Kwan	149838	216135	170708	A	TRUE	
703305cf-ed2e-45e9-ad94-7fe39b781ba7	4	Which of these items would be measured on the Scoville scale?	Habanero	Typhoon	Emerald	110227	23189	18704	A		
703305cf-ed2e-45e9-ad94-7fe39b781ba7	5	Which of these iconic African-American leaders was NOT born into slavery?	W.E.B. Du Bois	Frederick Douglass	Booker T. Washington	43506	22813	41277	A	TRUE	
703305cf-ed2e-45e9-ad94-7fe39b781ba7	6	A cat with what fur pattern is almost always female?	Calico	Tuxedo	Tabby	30995	2683	10829	A		
703305cf-ed2e-45e9-ad94-7fe39b781ba7	7	Which nation does not have a two-word capital city?	Brunei	Ethiopia	Malaysia	10109	12619	8187	A		
703305cf-ed2e-45e9-ad94-7fe39b781ba7	8	In 2014, an excavation at a New Mexican landfill uncovered what?	Flying car prototype	Lost Picasso sculpture	Over 1,000 Atari games	841	3474	6203	C		
703305cf-ed2e-45e9-ad94-7fe39b781ba7	9	The athlete who has competed in the most Olympic games hails from which country?	Canada	Finland	Japan	1866	2590	1806	A	TRUE	
703305cf-ed2e-45e9-ad94-7fe39b781ba7	10	Which of these fonts was NOT created by Microsoft?	Comic Sans	Verdana	Papyrus	354	505	1179	C		
703305cf-ed2e-45e9-ad94-7fe39b781ba7	11	In the first known use of "mammoth" as an adjective, what item was it describing?	Hunk of cheese	Empire State Building	Dinosaur	131	168	150	C		
703305cf-ed2e-45e9-ad94-7fe39b781ba7	12	Which of these countries has a lower gross domestic product than any U.S. state?	Ecuador	Uzbekistan	Iceland	113	201	78	C		
020d2770-8f7c-42f6-8474-a303b330c367	1	Which of these is a popular desert?	Garden rake	Cake	Tire iron	13547	1045865	5384	B		
020d2770-8f7c-42f6-8474-a303b330c367	2	A person who dances poorly is often described as having what?	Two left feet	Fourteen heads	Six right hands	1024796	5392	3477	A		
020d2770-8f7c-42f6-8474-a303b330c367	3	Which of these cleaning products should you never, ever mix with bleach?	Ammonia	Laundry detergent	Water	920896	73120	18471	A		
020d2770-8f7c-42f6-8474-a303b330c367	4	Rulon Gardner was a 2000 Olympic sensation in what sport?	Shot put	Wrestling	Judo	322125	382812	190377	B	TRUE	
020d2770-8f7c-42f6-8474-a303b330c367	5	Which of the following is NOT used to describe someone from that particular state?	Wisconsinian	Utahn	Connecticuter	50579	100540	197047	A		
020d2770-8f7c-42f6-8474-a303b330c367	6	Which animal term also means an indentation in a brick for holding mortar?	Bat	Frog	Coot	15292	17949	22508	B		
020d2770-8f7c-42f6-8474-a303b330c367	7	In which profession would you be most likely to use a psychrometer?	Meteorology	Neurosurgery	Electrical engineering	4047	8432	5829	A		
020d2770-8f7c-42f6-8474-a303b330c367	8	Lonnie Johnson supposedly invented the Supersoaker while trying to build what?	Heat pump	Nerf Blaster rival	Efficient sprinklers	1570	691	2205	A		
020d2770-8f7c-42f6-8474-a303b330c367	9	In gardening, what word refers to overall health and usability of soil?	Loam	Tilth	Humus	552	764	321	B		
020d2770-8f7c-42f6-8474-a303b330c367	10	Which type of musical composition is also an Olympic figure skating jump?	Sarabande	Bagatelle	Mazurka	312	214	275	C	TRUE	
020d2770-8f7c-42f6-8474-a303b330c367	11	Low-income college students may qualify for a federal grant program named after a senator from what state?	Rhode Island	Illinois	Washington	201	73	23	A		
020d2770-8f7c-42f6-8474-a303b330c367	12	The westernmost region of Russia touches which of these countries?	Poland	Norway	Lithuania	8	29	12	A		
b6580651-e5af-4078-bb24-5091dad4760e	1	Which animals race at the Kentucky Derby?	Horses	Wiener dogs	Locusts	1758173	19471	3741	A		
b6580651-e5af-4078-bb24-5091dad4760e	2	What is the name for anger experienced while driving a car?	Highway displeasure	Street sadness	Road rage	5130	2999	1736896	C		
b6580651-e5af-4078-bb24-5091dad4760e	3	Which of these products is a depilatory?	Nair	Rogaine	Pomade	1120557	377549	204581	A		
b6580651-e5af-4078-bb24-5091dad4760e	4	Which of these songs was NOT recorded by the Beach Boys?	Surf's Up	Surf City	Surfer Girl	528861	289408	288726	B		
b6580651-e5af-4078-bb24-5091dad4760e	5	Auguste Rodin's statue The Thinker is meant to represent what real-life person?	Dante Alighieri	Michelangelo	Auguste Rodin	87512	151523	66203	A		
b6580651-e5af-4078-bb24-5091dad4760e	6	Which of these is an alveolar disorder?	Pneumonia	Strep throat	Psoriasis	44607	21320	28718	A		
b6580651-e5af-4078-bb24-5091dad4760e	7	Which of these two-letter combos is an acceptable word in Scrabble?	Fi	Ro	Da	20502	9089	16503	C		
b6580651-e5af-4078-bb24-5091dad4760e	8	Which of these Adam Sandler movies has a female director?	Billy Madison	The Wedding Singer	Big Daddy	2926	9624	4935	A		
b6580651-e5af-4078-bb24-5091dad4760e	9	Which position was first held in the last year of the previous century?	Mayor of Singapore	Mayor of London	Mayor of Baghdad	1197	1033	1232	B		
b6580651-e5af-4078-bb24-5091dad4760e	10	Which author's Pulitzer Prize-winning novel was adapted into a Broadway musical?	Jane Smiley	Annie Proulx	Alice Walker	159	221	721	C		
b6580651-e5af-4078-bb24-5091dad4760e	11	The first edition of the CNN show Crossfire featured which host?	John Sununu	Pat Buchanan	Tucker Carlson	114	375	229	B		
b6580651-e5af-4078-bb24-5091dad4760e	12	According to the book of Leviticus, which of these animals is kosher to eat?	Owl	Cricket	Rabbit	82	120	173	B		
b6580651-e5af-4078-bb24-5091dad4760e	13	Bart's age on "The Simpsons" is NOT the same as which of these characters?	Ash from Pokémon	Encyclopedia Brown	Nancy Drew	37	32	60	C		
b6580651-e5af-4078-bb24-5091dad4760e	14	Which beauty product entrepreneur became the first U.S. self-made female millionaire?	Helena Rubinstein	Elizabeth Arden	C.J. Walker	13	33	16	C		
b6580651-e5af-4078-bb24-5091dad4760e	15	The author who created Tarzan once worked for which of these publications?	Sports Illustrated	Paris Review	Sears catalog	3	7	7	C		
c6a8a92e-4b81-474d-b3d2-3fded89b18bc	1	What is the mid-day meal usually called?	Jack Bauer Power Hour	Lunch	Sleepy time	3757	827904	2022	B		
c6a8a92e-4b81-474d-b3d2-3fded89b18bc	2	In what part of the newspaper would you post an item for sale?	Sports section	Weather page	Classifieds	11969	7457	794380	C		
c6a8a92e-4b81-474d-b3d2-3fded89b18bc	3	The "skyhook" is a move in which of these sports?	Polo	Acrobatics	Basketball	163660	198090	419165	C		
c6a8a92e-4b81-474d-b3d2-3fded89b18bc	4	What U.S. state borders only one other U.S. state?	Alaska	Maine	Rhode Island	65792	272049	71448	B		
c6a8a92e-4b81-474d-b3d2-3fded89b18bc	5	The author of "The Picture of Dorian Gray" was born in what country?	France	Ireland	United States	98369	144218	27323	B		
c6a8a92e-4b81-474d-b3d2-3fded89b18bc	6	What is the name of London's electronic public transit pass?	Opal	Oyster	Presto	62498	46794	35499	B		
c6a8a92e-4b81-474d-b3d2-3fded89b18bc	7	According to Marie Kondo, you should only own material items with what quality?	Eco-friendly	Useful in daily life	Spark joy	12370	14490	20918	C		
c6a8a92e-4b81-474d-b3d2-3fded89b18bc	8	Which of these North American deserts is the smallest?	Sonoran desert	Mojave desert	Chihuahuan desert	9345	7558	4450	B		
c6a8a92e-4b81-474d-b3d2-3fded89b18bc	9	Which Secretary-General of the United Nations once appeared on "Da Ali G Show"?	Kofi Annan	Ban Ki-moon	Boutros Boutros-Ghali	2826	1053	4021	C		
c6a8a92e-4b81-474d-b3d2-3fded89b18bc	10	One thousand years ago, which of these regions was heavily populated with Moorish people?	Albion	Novgorod	Iberia	359	269	3497	C		
c6a8a92e-4b81-474d-b3d2-3fded89b18bc	11	The first official African-American fraternity was founded at what university?	Howard	Clemson	Cornell	2813	263	412	C	TRUE	
c6a8a92e-4b81-474d-b3d2-3fded89b18bc	12	Which of these things did Skee-Lo NOT wish for in his hit '90s song?	1964 Impala	White shirt collar	Child named Big Al	274	167	279	C		
c3683bb3-f99d-4c0c-8da4-dd4538619ea7	1	Who famously painted the ceiling of the Sistine Chapel?	Michelangelo	Bob Ross	Mr. Brainwash	1193984	16294	2905	A		
c3683bb3-f99d-4c0c-8da4-dd4538619ea7	2	Which U.S. coin features a portrait of Abraham Lincoln?	Kennedy half-dollar	Buffalo nickel	Penny	18466	41343	1120624	C		
c3683bb3-f99d-4c0c-8da4-dd4538619ea7	3	Which of these is NOT a unit of temperature?	Celsius	Fahrenheit	Hectare	990	1360	1112656	C		
c3683bb3-f99d-4c0c-8da4-dd4538619ea7	4	The R.E.M. song "Man on the Moon" was written about what comedian?	Jim Carey	Mitch Hedberg	Andy Kaufman	264290	129370	697513	C		
c3683bb3-f99d-4c0c-8da4-dd4538619ea7	5	What disease gets its name from the Italian word for "bad air"?	Influenza	Malaria	Asthma	127120	88903	132191	B		
c3683bb3-f99d-4c0c-8da4-dd4538619ea7	6	Students of Auguste Escoffier would know have known how to do what?	Design a chateau	Perform a grand jeté	Prepare a velouté	57391	55618	66691	C		
c3683bb3-f99d-4c0c-8da4-dd4538619ea7	7	A 1976 book by Richard Dawkins introduced what now-common word?	Android	Emoticon	Meme	35914	11520	19993	C		
c3683bb3-f99d-4c0c-8da4-dd4538619ea7	8	Which voice actor from "The Emperor's New Groove" was once blacklisted in Hollywood?	Eartha Kitt	Wendie Malick	Tom Jones	10773	4863	5050	A		
c3683bb3-f99d-4c0c-8da4-dd4538619ea7	9	Which of these is NOT a menu option for ordering hash browns at Waffle House?	Capped	Slathered	Chunked	4610	2642	3697	B		
c3683bb3-f99d-4c0c-8da4-dd4538619ea7	10	Which mathematical operation is traditionally notated by a tall, S-shaped curve?	Second derivative	Series	Integral	571	301	2065	C		
c3683bb3-f99d-4c0c-8da4-dd4538619ea7	11	Which of these supposedly hip cities does NOT have an Instagram filter named after it?	Nashvile	Austin	Brooklyn	265	777	1032	C		
c3683bb3-f99d-4c0c-8da4-dd4538619ea7	12	The inventor of the board game Risk also directed what award-winning film?	The 400 Blows	The Red Balloon	Last Year at Marienbad	104	553	191	B		
cca60bcb-3399-4478-9074-b03a10334711	1	According to legend, what vessel is likely to contain a wish-granting genie?	Magic limo	Magic lamp	Magic loofah	9439	761971	6352	B		
cca60bcb-3399-4478-9074-b03a10334711	2	Which of these destinations is legally allowed to bill itself as "The Happiest Place on Earth"?	Maryland	Orlando	Disney World	5052	36428	705256	C		
cca60bcb-3399-4478-9074-b03a10334711	3	At New Orleans Mardi Gras, what are float riders required to wear by law?	Tuxedos	Masks	Sweater vests	27041	636662	29056	B	TRUE	
cca60bcb-3399-4478-9074-b03a10334711	4	Which of these is NOT part of the three-word Olympic motto?	Thicker	Higher	Faster	612198	10109	9662	A	TRUE	
cca60bcb-3399-4478-9074-b03a10334711	5	Circue du Soleil is a theater troupe first formed in which country?	USA	Canada	France	25087	114930	467771	B		
cca60bcb-3399-4478-9074-b03a10334711	6	Which of these films does NOT prominently feature identical twins?	Adaptation	The Parent Trap	Twins	39356	13407	68096	C		
cca60bcb-3399-4478-9074-b03a10334711	7	The painting "Washington Crossing the Delaware" has appeared on which state quarter?	New Jersey	Delaware	Washington	37208	21864	8717	A		
cca60bcb-3399-4478-9074-b03a10334711	8	The 2008 Olympics were the first time the medals contained what material?	Jade	Amber	Coral	19856	13198	4706	A	TRUE	
cca60bcb-3399-4478-9074-b03a10334711	9	When written in all caps, which insult refers to a common type of computer user interface?	Clod	Wimp	Dolt	5129	6487	8239	B		
cca60bcb-3399-4478-9074-b03a10334711	10	What writer was the first to receive a MacArthur "genius" grant for science fiction?	Octavia E. Butler	Samuel R. Delany	Ursula K. Le Guin	1951	1909	2987	A		
cca60bcb-3399-4478-9074-b03a10334711	11	The "Father of Art Deco" designed over 200 covers for which magazine?	New Yorker	Harper's Bazaar	Vogue	878	738	520	B		
cca60bcb-3399-4478-9074-b03a10334711	12	Which novel inspired the setting for multiple Stephen King books and stories?	Frankenstein	The Sword in the Stone	Lord of the Flies	138	239	429	C		
bb52b32f-c22c-4106-b4ad-ba7fd699ed8c	1	Who is Robert Downey, Jr.'s father?	Robert Downey, Sr.	Chet Downey III	Morton Downey, Jr.	1033751	17800	63979	A		
bb52b32f-c22c-4106-b4ad-ba7fd699ed8c	2	In July of 2017, Joey Chestnut set a world record by consuming 72 what?	Pickles	Hot dogs	Raw oysters	26478	958820	31598	B		
bb52b32f-c22c-4106-b4ad-ba7fd699ed8c	3	Who just became the youngest woman to win gold in Olympics snowboarding?	Khloé Kardashian	Chloë Grace Moretz	Chloe Kim	3831	146308	795136	C	TRUE	
bb52b32f-c22c-4106-b4ad-ba7fd699ed8c	4	Which four-letter state is the smallest in total area?	Ohio	Iowa	Utah	297042	399229	80362	A		
bb52b32f-c22c-4106-b4ad-ba7fd699ed8c	5	In Ancient Greece, athletes traditionally competed wearing what?	Togas	Laurel wreaths	Nothing at all	100713	57475	142508	C	TRUE	
bb52b32f-c22c-4106-b4ad-ba7fd699ed8c	6	What pop star first recorded under the same name as the so-called "sailor's devil"?	Elton John	David Bowie	Freddie Mercury	20183	68330	53038	B		
bb52b32f-c22c-4106-b4ad-ba7fd699ed8c	7	In the King James Bible, which of these measures "six cubits and a span"?	Stone tablet	Noah's Ark	Goliath	20389	33571	15066	C		
bb52b32f-c22c-4106-b4ad-ba7fd699ed8c	8	Which of these is NOT a palindrome?	A Toyota's a Toyota	Was it a rat I saw?	Walk sir, I'll risk law	4444	4007	6107	C		
bb52b32f-c22c-4106-b4ad-ba7fd699ed8c	9	Aaron Sorkin & Quentin Tarantino helped write the screenplay to which movie?	The Rock	Con Air	Face/Off	1295	2490	2586	A		
bb52b32f-c22c-4106-b4ad-ba7fd699ed8c	10	In 1997, Alabama's state bar association put up a monument to whom?	Atticus Finch	John Grisham	William Jennings Bryan	764	304	372	A		
bb52b32f-c22c-4106-b4ad-ba7fd699ed8c	11	What Canadian city aptly takes its name from a Cree term for "muddy water"?	Winnipeg	Ottawa	Toronto	299	424	64	A		
bb52b32f-c22c-4106-b4ad-ba7fd699ed8c	12	Which of these performers was part of the first Lollapalooza festival lineup?	Soundgarden	Depeche Mode	Ice-T	104	136	73	C		
d0f4d171-27e5-4672-a301-8b6b308c6b5b	1	Hamburgers are usually made with what?	Yarn	Ground beef	Sweet dreams	2532	761038	1301	B		
d0f4d171-27e5-4672-a301-8b6b308c6b5b	2	Who is the reigning monarch of Great Britain?	Queen Elizabeth	Prince Paul	King Koopa	735753	12706	1871	A		
d0f4d171-27e5-4672-a301-8b6b308c6b5b	3	Which of the following musicians has won a Nobel Prize?	Madonna	Bruce Springsteen	Bob Dylan	90603	152969	480398	C		
d0f4d171-27e5-4672-a301-8b6b308c6b5b	4	Ricky Martin was a member of which boy band?	Backstreet Boys	Boyzone	Menudo	94938	41085	341277	C		
d0f4d171-27e5-4672-a301-8b6b308c6b5b	5	Which of these is a tool used for glass blowing?	Swage	Rotary cutter	Punty	160315	99965	75949	C		
d0f4d171-27e5-4672-a301-8b6b308c6b5b	6	Which of these animals has a species named after Ferdinand Magellan?	Penguin	Otter	Dolphin	48369	14820	14511	A		
d0f4d171-27e5-4672-a301-8b6b308c6b5b	7	Ron Perlman, Kris Kristofferson, and Lynda Carter have all recorded voices for what video game series?	Fallout	Grand Theft Auto	Halo	9455	25302	12998	A		
d0f4d171-27e5-4672-a301-8b6b308c6b5b	8	Ancient Egyptians shaved their eyebrows when what occurred?	Pharaoh became ill	House cat passed away	Harvest was bountiful	2830	3769	3043	B		
d0f4d171-27e5-4672-a301-8b6b308c6b5b	9	Which legendary author used to live with Marlon Brando?	Jack Kerouac	Allen Ginsberg	James Baldwin	1631	1151	1133	C		
d0f4d171-27e5-4672-a301-8b6b308c6b5b	10	Which of these animals does NOT possess chromatophores?	Cuttlefish	Zebrafish	Peacock	303	333	588	C		
d0f4d171-27e5-4672-a301-8b6b308c6b5b	11	The intro of TV's "Wide World of Sports" pairs the phrase "agony of defeat" with what footage?	Skier wiping out	Race car crashing	Runner collapsing	246	284	85	A		
d0f4d171-27e5-4672-a301-8b6b308c6b5b	12	How did Strom Thurmond prepare for the longest-ever U.S. Congressional filibuster?	Inserted a feeding tube	Took steam baths	Got Vitamin B shots	66	97	112	B		
e4f8993a-23dc-4b50-93c2-7447bd72d8db	1	Which of these U.S. TV shows airs earliest in the day?	Mad Money	Good Morning America	World News Tonight	18733	1065765	24473	B		
e4f8993a-23dc-4b50-93c2-7447bd72d8db	2	Neil Armstrong was the first person to do what?	Run a 4-minute mile?	Walk on the moon	Dunk a basketball	11396	1042037	1691	B		
e4f8993a-23dc-4b50-93c2-7447bd72d8db	3	Traditionally made with cheese, what Swiss dish means "melted" in French?	Meringue	Fondue	Quiche	15162	971671	41188	B		
e4f8993a-23dc-4b50-93c2-7447bd72d8db	4	Which novel is set in a land named after the Latin word for "bread"?	The Silver Chair	The Hunger Games	Fahrenheit 451	196199	543523	163259	B		
e4f8993a-23dc-4b50-93c2-7447bd72d8db	5	During which holiday are the most greeting cards in the U.S. sold?	Christmas	Valentine's Day	Mother's Day	121431	219315	202691	A	TRUE	
e4f8993a-23dc-4b50-93c2-7447bd72d8db	6	In "Pulp Fiction", Samuel L. Jackson claims his iconic monologue comes from what book of the Bible?	Ezekiel	Leviticus	Exodus	55174	31063	39065	A		
e4f8993a-23dc-4b50-93c2-7447bd72d8db	7	Before the Industrial Revolution, American workers would typically stop around 11 a.m. to do what?	Take a nap	Play baseball	Drink whiskey	19857	10327	25564	C		
e4f8993a-23dc-4b50-93c2-7447bd72d8db	8	A key financial backer of the 1961 Freedom Rides was famous for recording which song?	Jump in the Line	A Change Is Gonna Come	The Candy Man	4876	12947	7999	A		
e4f8993a-23dc-4b50-93c2-7447bd72d8db	9	Which inventor boarded a steam ship in 1913 and was never seen again alive?	Nikola Tesla	Rudolf Diesel	George Eastman	891	2544	1936	B		
e4f8993a-23dc-4b50-93c2-7447bd72d8db	10	Which of these famous buildings contains vomitoria?	The Parthenon	Madison Square Garden	Sistine Chapel	1160	351	1149	B		
e4f8993a-23dc-4b50-93c2-7447bd72d8db	11	What TV acting award has Julia Louis-Dreyfus won the fewest number of times?	Golden Globe	Primetime Emmy	SAG Award	230	101	122	A		
e4f8993a-23dc-4b50-93c2-7447bd72d8db	12	Which of these federal government positions comes with the highest annual salary?	Postmaster general	Secretary of the Army	Attorney General	70	36	129	A		
78836dda-ed86-41db-93ba-51b2323ed3cf	1	Which of these is a common type of salad?	Caesar salad	Cedar salad	Scenic salad	759985	4792	1515	A		
78836dda-ed86-41db-93ba-51b2323ed3cf	2	Elephants are known for their sense of what?	Humor	Smell	Style	73195	666140	6507	B		
78836dda-ed86-41db-93ba-51b2323ed3cf	3	Which of these sports is played with a paddle?	Lacrosse	Pickleball	Handball	148442	410486	102616	B		
78836dda-ed86-41db-93ba-51b2323ed3cf	4	Which of these is NOT one of the first Starburst flavors?	Lime	Lemon	Cherry	340264	27378	36222	C		
78836dda-ed86-41db-93ba-51b2323ed3cf	5	How is the first name of the lead actor of "The English Patient" pronounced?	"Rolf"	"Rafe"	"Ralf"	16435	13548	8945	B		
78836dda-ed86-41db-93ba-51b2323ed3cf	6	When it comes to clothing, what is peplum?	Shoulder pad	Neck seam	Ruffle	2325	2821	8571	C		
78836dda-ed86-41db-93ba-51b2323ed3cf	7	The wife of which of these writers inspired the title of a popular video game?	Ernest Hemingway	Arthur Miller	F. Scott Rogowsky Fitzgerald	1978	2343	4138	C		
78836dda-ed86-41db-93ba-51b2323ed3cf	8	Which of these is NOT a defunct Yahoo product?	Leap	Buzz	Mash	1522	1177	1470	A		
78836dda-ed86-41db-93ba-51b2323ed3cf	9	In the original children's book "Flat Stanley," what falling item flattens Stanley?	Refrigerator	Baby grand piano	Bulletin board	345	669	464	C		
78836dda-ed86-41db-93ba-51b2323ed3cf	10	In a viral photo of Dwayne "The Rock" Johnson in a turtleneck, what is his arm leaning on?	Ladder	Pillow	Tissues	263	124	99	C		
78836dda-ed86-41db-93ba-51b2323ed3cf	11	Which U.S. island's municipal bonds are NOT triple tax-exempt?	Culebra	Molokai	Cabras Island	25	53	35	B		
78836dda-ed86-41db-93ba-51b2323ed3cf	12	The Hermès Birkin handbag was born thanks to a random meeting where?	On an airplane	At a museum	In a restaurant	28	17	10	A		
88dc0de0-6592-4bfc-96a4-6fb8c58a4aa2	1	What is Superman's biggest weakness?	Tickling	Chocolate	Kryptonite	11662	7185	1011647	C		
88dc0de0-6592-4bfc-96a4-6fb8c58a4aa2	2	The fleshy lower portion of the outer ear is called what?	Ear lobe	Earwolf	Ear chin	996818	3382	2693	A		
88dc0de0-6592-4bfc-96a4-6fb8c58a4aa2	3	How do bacteria reproduce?	Binary fission	Illegal collusion	Nuclear fusion	863275	10091	106607	A		
88dc0de0-6592-4bfc-96a4-6fb8c58a4aa2	4	What is the official currency of China?	Renminbi	Yen	Chinese dollar	71796	719320	66507	A		
